ID,x,y,Smax,DSmax,Kσ,Dσmax,Aσ,Hf,Kw,Bf,Af,ODI,ODI_pred,ODI_diff
BJ72,495054.44752,5403525.771,48.09870290590813,34.15042616272889,48.687054604828454,20.77971327707616,62.70749472020067,167.01743093714342,42.67497356854517,137.7845803507015,34.25350372872788,0.17988826493081125,0.17985169419212121,3.657073869003935e-05
BJ73,495029.40294,5403525.776,48.18937374626316,34.14193992152218,48.78532366443525,20.73805719958603,62.62863690583546,166.4253574045442,42.69752728883892,137.31949019107134,34.288197184457076,0.1787861357361009,0.17874961226491926,3.652347118163202e-05
BJ74,495004.35836,5403525.781,48.280491392967214,34.132081678449666,48.884207481717226,20.694693017696185,62.54573241803644,165.81368270749343,42.71913327501999,136.8387756273062,34.32251214508616,0.17762833404935074,0.1775918602333285,3.64738160222311e-05
BJ75,494979.31378,5403525.786,48.37205608800846,34.120850690150064,48.98370638965198,20.64961980597777,62.45877906434662,165.18239622644487,42.739791013568095,136.3424281943871,34.35644840550376,0.1764148297076174,0.17637840793569937,3.642177191803819e-05
BJ76,494954.2692,5403525.791,48.46365196905803,34.108082265533795,49.08338501368256,20.602809076059465,62.36760186004732,164.53170863905038,42.75923574395579,135.83057878296532,34.38976428284751,0.17514314359398137,0.17510677636143523,3.636723254613061e-05
BJ77,494929.22462,5403525.796,48.55527849417363,34.09377789994938,49.18324262417138,20.554262710278387,62.27220525200217,163.8616416088021,42.77746848144284,135.3032446570226,34.42246016666409,0.1738133368781892,0.17377702667765926,3.631020052993761e-05
BJ78,494904.18004,5403525.801,48.648662371888356,34.07861620378355,49.28508744071171,20.50409315175879,62.17330156407445,163.17125525808223,42.79558440092545,134.75983030175453,34.455537407287714,0.17243550707048386,0.17239925596155803,3.6251108925827724e-05
BJ79,494879.13546,5403525.806,48.742786598396016,34.06219545742944,49.38785464331475,20.452231895822177,62.0704657020245,162.46107778153583,42.81293684784085,134.20066618431113,34.488405389428564,0.17100363048615863,0.17096744078676518,3.6189699393451846e-05
BJ80,494854.09088,5403525.811,48.8365858029149,34.04410299210716,49.490427997003415,20.398616334955438,61.9632746524076,161.73176451124985,42.828854901914426,133.6261800175809,34.52044876935274,0.16951170413090383,0.16947557841642413,3.612571447969559e-05
BJ81,494829.0463,5403525.816,48.93082893084897,34.024647377298976,49.59361214177853,20.34330369068198,61.85206303919753,160.98297654678473,42.843831336789066,133.03617025820324,34.55211609626114,0.1679644644922025,0.16792840513488216,3.605935732034493e-05
BJ82,494804.00172,5403525.821,48.994546604271584,33.99426350195632,49.66491422295101,20.28678238455163,61.730247746181114,160.26221117698822,42.8402661566749,132.46582445126216,34.566459500321095,0.16627269272662198,0.166236705925075,3.5986801546983305e-05
BJ83,494778.95714,5403525.826,48.947574025621364,33.928485389751955,49.62019752428766,20.230647326288583,61.58159323851391,159.6960925376536,42.77283500928928,132.0091643226447,34.51973020183188,0.16421651505741922,0.16418061644008486,3.589861733435673e-05
BJ84,494753.91256,5403525.831,48.7295359604439,33.8094947664331,49.396036628644886,20.176784640469865,61.39553954957289,159.38760274622373,42.60788620798494,131.74308809963622,34.37923014519027,0.16165327095446694,0.16161748226813044,3.5788686336496456e-05
BJ85,494728.86798,5403525.836,48.3848611074374,33.65065000865747,49.038932845322286,20.12441897143003,61.18127639120457,159.26560685096834,42.37040370516471,131.6147060516102,34.1691720119584,0.15870222901198724,0.15866656688830827,3.566212367897559e-05
BJ86,494703.8234,5403525.841,47.99350807728411,33.47613824024144,48.63274197921748,20.0719094119369,60.95483369059934,159.20200140528164,42.10543753472383,131.52878662389585,33.93313140137592,0.15557743208812183,0.15554190397900802,3.5528109113808215e-05
BJ87,494678.77882,5403525.846,47.58881620419427,33.29714943765095,48.21252389681031,20.01935873403782,60.7249105412906,159.15508172331835,41.83261758017706,131.45500139372155,33.68966598961875,0.15240298261673904,0.1523675906516614,3.539196507765241e-05
BJ88,494653.73424,5403525.851,47.18160836798872,33.117316180044355,47.78966001079011,19.966800300416164,60.494330912215275,159.11130929832376,41.55831625043123,131.38350490731875,33.4448001171188,0.14921916771704744,0.14918391229766537,3.5255419382068665e-05
BJ89,494628.68966,5403525.856,46.77592823728043,32.937995679784116,47.368402670072186,19.914246576108575,60.26414990096673,159.0656258430216,41.28491441918017,131.31061868415262,33.20078461144746,0.1460410395526815,0.1460059204351054,3.511911757608788e-05
BJ90,494603.64508,5403525.861,46.37346794629324,32.75975588289032,46.950531334305495,19.861702777300202,60.034809029078986,159.0159146407035,41.01340839899338,131.2348034084873,32.958561365408876,0.14287489692899907,0.14283991359919967,3.4983329799398444e-05
BJ91,494578.6005,5403525.866,45.97490405304788,32.58282386853561,46.53675747642207,19.809170989556574,59.80648482802513,158.96132937457506,40.74419654081373,131.15544362302091,32.71850697154762,0.13972325826764254,0.13968841010358202,3.484816406051916e-05
BJ92,494553.55592,5403525.871,45.58036842250123,32.40724389571819,46.127219766491834,19.756651619357473,59.57921170475936,158.90170509264598,40.477356485470594,131.0724193715936,32.48069482986191,0.13658661442284267,0.13655190078143153,3.4713641411138196e-05
BJ93,494528.51134,5403525.876,45.18961645101974,32.23293386595509,45.72166097769993,19.704143912691052,59.35292583588688,158.83734777341678,40.21274421266977,130.9859531674625,32.24498878661409,0.13346405488149019,0.13342947515868853,3.457972280165866e-05
BJ94,494503.46676,5403525.881,44.802058981268885,32.05969603514372,45.31946154825933,19.651646053416513,59.12747349503828,158.76899440285067,39.95001283216478,130.896580960519,32.01106089911134,0.1303533865626041,0.13031894024842783,3.444631417626187e-05
BJ95,494478.42218,5403525.886,44.416704708359156,31.887197682831133,44.919579015328736,19.599154985731154,58.90259602516043,158.69788501947968,39.6885786730466,130.80520452983404,31.778359377236526,0.12725091943000819,0.12721660617272934,3.4313257278845155e-05
BJ96,494453.3776,5403525.891,44.03200876908922,31.71492029287695,44.52038879044984,19.546665947428615,58.677890331533845,158.62595211642716,39.42753213452588,130.7132292203282,31.5460243036662,0.12415090288042878,0.1241167225749481,3.418030548067719e-05
BJ97,494428.33302,5403525.896,43.64558267194917,31.54206219468988,44.119379120001604,19.494171575730007,58.452733195024116,158.5561834944577,39.16546689547436,130.6228278162564,31.312726172186952,0.121044445986194,0.12101039890872145,3.4047077472551535e-05
BJ98,494403.28844,5403525.901,43.25366277862344,31.367360164959234,43.7125921367994,19.441660268820915,58.22614258517402,158.49328714663187,38.900166961378496,130.5374240576876,31.07637002851307,0.11791753896922386,0.11788362599681301,3.3912972410843345e-05
BJ99,494378.24386,5403525.906,42.850133221629825,31.18876148083294,43.293596353760115,19.389113173888287,57.9965227141684,158.44491350562672,38.62803136751839,130.46258148147385,30.83355159685551,0.11474741610674223,0.1147136390928104,3.377701393182664e-05
BJ100,494353.19928,5403525.911,42.4291413757964,31.004301773808873,42.8562371111721,19.336512249589592,57.762346480906444,158.41838371024429,38.34561414374632,130.40362415583874,30.581013130012057,0.11151229156984387,0.1114786533021469,3.363826769696432e-05
BJ101,494328.1547,5403525.916,42.00530389628355,30.81888696151037,42.41588538120514,19.28390255332048,57.52742774830378,158.39541356177284,38.06152143787438,130.34725547160429,30.326890697873292,0.10826657443787222,0.1082330753706996,3.3499067172620967e-05
BJ102,494303.11012,5403525.921,41.59680794792636,30.640664422570033,41.99143403073181,19.233721734133912,57.302293235121624,158.3792188680063,37.78809337967232,130.29767815026446,30.082162544162394,0.10515622523700124,0.10512285956476786,3.336567223338749e-05
BJ103,494278.06554,5403525.926,41.3141093880815,30.521417040468915,41.69736250977777,19.203457205639083,57.157387301447805,158.41858150426657,37.602113230858656,130.30378860280143,29.914465534295445,0.10315586512737791,0.10312258524548445,3.327988189345821e-05
BJ104,494253.02096,5403525.931,41.14514907833406,30.45549136255612,41.52117239982051,19.191199760425366,57.085019107614634,158.50817565621736,37.49519809528558,130.36024851032727,29.816415339893794,0.1021590887832948,0.10212585165059485,3.323713269995365e-05
BJ105,494227.97638,5403525.936,41.068341024145745,30.432767644467262,41.440491389946516,19.193531895576314,57.07142196339403,158.63846805582332,37.452342493771155,130.45750222151065,29.774793929407103,0.10197542946497695,0.10194220020895639,3.322925602056159e-05
BJ106,494202.9318,5403525.941,41.074432542108774,30.44890812958239,41.44572974781234,19.208988722717102,57.110694874701615,158.80537233541648,37.467114434129215,130.59145377423505,29.78393548739353,0.10252324495587993,0.10248999220545107,3.325275042885545e-05
BJ107,494177.88722,5403525.946,41.16014368745966,30.502375144828353,41.533488049597345,19.237050959736305,57.20074602299703,159.00743993570973,37.53723386654331,130.76065120812316,29.841831562803968,0.10377359425050622,0.10374028787578715,3.330637471907205e-05
BJ108,494152.84264,5403525.951,41.29906518038065,30.580787738278868,41.676395000546925,19.273537479343155,57.32473261820599,159.23300742635305,37.64434241063598,130.95340370809726,29.932310619355643,0.10549345174422484,0.10546007160920723,3.3380135017607726e-05
BJ109,494127.79806,5403525.956,41.43947445195225,30.659897818222145,41.82084392569103,19.31025954463579,57.44966805956598,159.4592319815913,37.75248518234026,131.14681481539662,30.023700706673683,0.10722643684014434,0.10719298238181874,3.34544583256019e-05
BJ110,494102.75348,5403525.961,41.57988372352442,30.739007898165916,41.9652928508357,19.34698160992877,57.57460350092694,159.68545653683262,37.86062795404511,131.3402259226985,30.115090793992167,0.1089594219360771,0.10892589315444356,3.352878163354056e-05
BJ111,494077.7089,5403525.966,41.720292995096855,30.818117978109942,42.109741775980645,19.383703675221938,57.69953894228845,159.91168109207572,37.96877072575026,131.5336370300018,30.206480881310874,0.11069240703201728,0.11065880392707572,3.360310494156249e-05
BJ112,494052.66432,5403525.971,41.860702266667516,30.897228058052292,42.254190701123825,19.42042574051387,57.82447438364649,160.13790564730746,38.0769134974535,131.7270481372959,30.29787096862814,0.11242539212790999,0.11239171469966047,3.367742824951503e-05
BJ113,494027.61974,5403525.976,42.00111153823904,30.976338137995487,42.39863962626785,19.457147805806443,57.9494098250063,160.3641302025451,38.18505626915769,131.92045924459478,30.389261055946115,0.11415837722382692,0.11412462547226943,3.3751751557495324e-05
BJ114,494002.57516,5403525.981,42.14152080981117,31.055448217939237,42.54308855141249,19.493869871099413,58.07434526636724,160.5903547577864,38.29319904086252,132.11387035189662,30.480651143264573,0.11589136231975941,0.11585753624489392,3.38260748654895e-05
BJ115,493977.53058,5403525.986,42.281930081383265,31.13455829788297,42.68753747655709,19.53059193639238,58.19928070772816,160.8165793130277,38.40134181256732,132.30728145919846,30.572041230583014,0.11762434741569161,0.1175904470175182,3.390039817341428e-05
BJ116,493952.486,5403525.991,41.72662028375,30.5356663153,42.14682433295,19.056538319949997,56.9060078968,156.3081035599,37.7455500503,128.6547031763,30.091618562950003,0.09988287354838393,0.09984973403674613,3.313951163780304e-05
BJ117,493927.44142,5403525.996,41.72662028375,30.5356663153,42.14682433295,19.056538319949997,56.9060078968,156.3081035599,37.7455500503,128.6547031763,30.091618562950003,0.09988287354838393,0.09984973403674613,3.313951163780304e-05
BJ118,493902.39684,5403526.001,41.72662028375,30.5356663153,42.14682433295,19.056538319949997,56.9060078968,156.3081035599,37.7455500503,128.6547031763,30.091618562950003,0.09988287354838393,0.09984973403674613,3.313951163780304e-05
BJ119,493877.35226,5403526.006,41.72662028375,30.5356663153,42.14682433295,19.056538319949997,56.9060078968,156.3081035599,37.7455500503,128.6547031763,30.091618562950003,0.09988287354838393,0.09984973403674613,3.313951163780304e-05
BJ120,493852.30768,5403526.011,41.72662028375,30.5356663153,42.14682433295,19.056538319949997,56.9060078968,156.3081035599,37.7455500503,128.6547031763,30.091618562950003,0.09988287354838393,0.09984973403674613,3.313951163780304e-05
BJ121,493827.2631,5403526.016,41.72662028375,30.5356663153,42.14682433295,19.056538319949997,56.9060078968,156.3081035599,37.7455500503,128.6547031763,30.091618562950003,0.09988287354838393,0.09984973403674613,3.313951163780304e-05
BJ122,493827.2631,5403526.016,41.72662028375,30.5356663153,42.14682433295,19.056538319949997,56.9060078968,156.3081035599,37.7455500503,128.6547031763,30.091618562950003,0.09988287354838393,0.09984973403674613,3.313951163780304e-05
BJ123,493827.2631,5403551.5485,41.72662028375,30.5356663153,42.14682433295,19.056538319949997,56.9060078968,156.3081035599,37.7455500503,128.6547031763,30.091618562950003,0.09988287354838393,0.09984973403674613,3.313951163780304e-05
BJ124,493827.2631,5403577.081,41.72662028375,30.5356663153,42.14682433295,19.056538319949997,56.9060078968,156.3081035599,37.7455500503,128.6547031763,30.091618562950003,0.09988287354838393,0.09984973403674613,3.313951163780304e-05
BJ125,493827.2631,5403602.6135,41.72662028375,30.5356663153,42.14682433295,19.056538319949997,56.9060078968,156.3081035599,37.7455500503,128.6547031763,30.091618562950003,0.09988287354838393,0.09984973403674613,3.313951163780304e-05
BJ126,493827.2631,5403628.146,41.72662028375,30.5356663153,42.14682433295,19.056538319949997,56.9060078968,156.3081035599,37.7455500503,128.6547031763,30.091618562950003,0.09988287354838393,0.09984973403674613,3.313951163780304e-05
BJ127,493827.2631,5403653.6785,41.72662028375,30.5356663153,42.14682433295,19.056538319949997,56.9060078968,156.3081035599,37.7455500503,128.6547031763,30.091618562950003,0.09988287354838393,0.09984973403674613,3.313951163780304e-05
BJ128,493827.2631,5403679.211,43.3996794127,32.167518421,43.7943465703,20.286455206699998,60.3204107501,167.7117415041,39.583768557599996,137.91762599630002,31.467290711300002,0.14676812473958964,0.14673297443918554,3.515030040410205e-05
BJ129,493827.2631,5403704.7435,43.3996794127,32.167518421,43.7943465703,20.286455206699998,60.3204107501,167.7117415041,39.583768557599996,137.91762599630002,31.467290711300002,0.14676812473958964,0.14673297443918554,3.515030040410205e-05
BJ130,493827.2631,5403730.276,43.3996794127,32.167518421,43.7943465703,20.286455206699998,60.3204107501,167.7117415041,39.583768557599996,137.91762599630002,31.467290711300002,0.14676812473958964,0.14673297443918554,3.515030040410205e-05
ZX1,493929.393098733,5403628.12991072,92.4193366657,180.950239069,89.3373488233,142.71543067669998,77.6194357511,169.0071639471,44.8861288536,153.8103161843,66.5571135173,0.9444423455423526,0.9443729850303857,6.93605119669316e-05
ZX2,493954.393098422,5403628.12597229,92.4193366657,180.950239069,89.3373488233,142.71543067669998,77.6194357511,169.0071639471,44.8861288536,153.8103161843,66.5571135173,0.9444423455423526,0.9443729850303857,6.93605119669316e-05
ZX3,493979.393098112,5403628.12203386,92.4193366657,180.950239069,89.3373488233,142.71543067669998,77.6194357511,169.0071639471,44.8861288536,153.8103161843,66.5571135173,0.9444423455423526,0.9443729850303857,6.93605119669316e-05
ZX4,494004.393097802,5403628.11809543,91.69021939939093,180.24345650668744,88.61889266266915,142.18446602137132,76.14367192181354,164.0927707462154,44.08852569417275,149.81773281276972,65.95941784410337,0.9241764128038015,0.9241079214459684,6.849135783304483e-05
ZX5,494029.393097492,5403628.11415699,91.55006561920032,180.16449148191722,88.47470646142308,142.14781204657695,76.01896690275491,163.86697179455325,43.980580582307155,149.6246847958465,65.8681945115839,0.9224466231426559,0.9223782059710868,6.841717156913507e-05
ZX6,494054.393097181,5403628.11021856,91.4099118390593,180.08552645718282,88.33052026022715,142.1111580718046,75.8942618837624,163.64117284307048,43.87263547048601,149.43163677907103,65.77697117909995,0.9207168334824221,0.9206484904971168,6.834298530522531e-05
ZX7,494079.393096871,5403628.10628013,91.26975805891483,180.00656143244734,88.1863340590276,142.0745040970323,75.76955686476914,163.41537389159262,43.76469035866289,149.2385887622992,65.68574784661412,0.9189870438221773,0.918918775023136,6.826879904131555e-05
ZX8,494104.393096561,5403628.1023417,91.12960427877135,179.92759640771277,88.04214785782901,142.03785012226072,75.64485184577786,163.18957494012136,43.656745246840835,149.04554074553272,65.59452451412909,0.9172572541619597,0.9171890595491823,6.81946127774058e-05
ZX9,494129.393096251,5403628.09840327,90.99452085922034,179.85100842207882,87.90321671603554,142.0019988889192,75.52338050145138,162.96601526961646,43.55232479033126,148.8547372673709,65.50640598120142,0.9155722034666415,0.9155040811213879,6.812234525355176e-05
ZX10,494154.39309594,5403628.09446484,90.91030712415055,179.79826868684162,87.81700829661978,141.97420136349123,75.4343518220629,162.76492175584787,43.48326633625771,148.68645269455905,65.44943714087749,0.9143360078351038,0.914267938507126,6.806932797787102e-05
ZX11,494179.39309563,5403628.09052641,90.89300444174775,179.77689756642084,87.80014830917753,141.95699722152685,75.38799635530559,162.5933789305108,43.46072102319426,148.5477881926662,65.43344081185629,0.9136902102986019,0.9136221686672321,6.804163136975294e-05
ZX12,494204.39309532,5403628.08658797,90.944882557754,179.78795914180301,87.85498917983293,141.9507458100239,75.38576165485136,162.45238920702286,43.486266662261365,148.439748528728,65.45980685693266,0.9136548382438223,0.9135867981294699,6.804011435246338e-05
ZX13,494229.39309501,5403628.08264954,91.06610490846859,179.83153003369748,87.9817002984018,141.95547300431363,75.42775195396464,162.34202476598807,43.560016866037536,148.36240605274637,65.5286353551844,0.9142313337726501,0.9141632689338757,6.80648387744176e-05
ZX14,494254.3930947,5403628.07871111,91.25678142273497,179.90766177790496,88.1803955981239,141.97119620835787,75.51403736086112,162.2623341563674,43.682048051421006,148.31580942770427,65.63999362075832,0.9154206668555804,0.9153525510093454,6.811584623500622e-05
ZX15,494279.393094389,5403628.07477268,91.51833832619798,180.01702300421212,88.45255325798718,141.99814122274603,75.64552746562659,162.2139472583926,43.85335165752188,148.3005900127392,65.79475499287136,0.9172354219740896,0.9171672282976389,6.819367645072294e-05
ZX16,494304.393094079,5403628.07083425,91.85457189520476,180.16139344743837,88.80210784188715,142.03690907539828,75.82464338257131,162.19854066467613,44.076566661457136,148.31842833696857,65.99524409457527,0.9197090960502178,0.919640796284199,6.829976601874233e-05
ZX17,494329.393093769,5403628.06689582,92.26415346714575,180.34015021639132,89.22768228781469,142.08728941194582,76.05053774344839,162.21552758289846,44.35076944495058,148.3687362303255,66.24064732869113,0.9228299654623301,0.9227615318501872,6.843361214292631e-05
ZX18,494354.393093459,5403628.06295739,92.68724905367456,180.52524249945307,89.66726302543815,142.139809292454,76.28505080624326,162.23848284892475,44.63436648008203,148.4250264846572,66.49432577435074,0.9260700774831004,0.9260015049108223,6.857257227810276e-05
